from ,to,position,year
abloh,F,1,2009
abloh,DO,2,2010
abloh,LV,2,2018
armani,N,1,1961
armani,U,1,1970
armani,Z,1,1970
armani,GA,3,1975
audigier,LE,2,1975
audigier,LEV,2,1975
audigier,DI,2,1975
audigier,VD,2,1999
audigier,EH,2,2004
audigier,CA,3,NA
bailey,DK,1,1994
bailey,G,2,1996
bailey,BU,2,2001
blazy,RS,1,2007
blazy,MM,1,2009
blazy,CE,1,2014
blazy,CK,1,2016
blazy,BV,2,2020
burch,VW,1,NA
burch,RL,,NA
burch,TB,,2004
burton,AM,2,2010
cavalli,RC,3,1972
chiuri,F,1,1989
chiuri,VA,1,1999
chiuri,D,2,2016
costa,OR,1,1993
costa,G,1,1998
dalmau,CB,3,1996
dolce,GC,1,1980
dolce,DG,3,1985
domínguez,AD,3,1976
edhardy,EH,3,2004
elkann,II,3,2006
emanuel,DEC,3,1990
etro,ET,2,2000
ford,G,2,1994
ford,TF,3,2003
feretti,AF,3,1974
gabbana,GC,NA,1980
gabbana,D&G,3,1985
galliano,GI,2,1995
galliano,D,2,1997
gaultier,PC,NA,1970
gaultier,JP,NA,1971
gaulltier,JPG,3,1978
gianni,F,NA,1997
gianni,G,2,2002
hilfiger,TH,3,1985
joop,J,3,1986
klein,C,3,1968
lacroix,CL,3,1987
lagerfeld,KL,3,1984
lauren,RL,3,1967
lauren,JJ,3,2004
levis,NR,3,2003
mcqueen,IVH,3,2007
nike,NK,1,1981
paraphernalia,BJ,3,1969
pucci,CH,3,1981
queen,AM,3,1993
queen,GI,2,1997
renta,B,2,1992
versace,V,2,1997
vuitton,MJ,3,1996
west,VW,3,1971
williams,BBC,3,2005
williams,LV,2,2023
yama,Y,3,1984
costa,TH,2,2001
abloh,hill,NA,NA
armani,kolibius,NA,2020
audigier,larson,NA,2008
bailey,delevigne,NA,2014
cavalli,jenner,NA,2019
chiuri,kahlo,NA,2024
costa,mara,NA,2013
dolce,belluci,NA,1992
ford,doillon,NA,NA
gabbana,belluci,NA,1992
galliano,moss,NA,2011
gaultier,madonna,NA,1990
lagerfeld,delevigne,NA,2012
lagerfeld,schiffer,NA,NA
mugler,ellis,NA,1990
versace,gaga,NA,2016
williams,towley,NA,2017
belluci,D&G,NA,1992
delevigne,C,NA,NA
delevigne,BU,NA,2014
doillon,G,NA,2006
ellis,M,NA,1990
hill,LV,NA,2021
jenner,RC,NA,2019
kahlo,D,NA,2024
kolibius,GAL,NA,2020
larson,CA,NA,2008
mara,CK,NA,2013
madonna,JPG,NA,1985
moss,GAL,NA,2011
schiffer,C,NA,1990
