from ,to,position,year
abloh,F,1,2009
abloh,DO,2,2010
abloh,LV,2,2018
armani,N,1,1961
armani,U,1,1970
armani,Z,1,1970
armani,GA,3,1975
audigier,LE,2,1975
audigier,DI,2,1975
audigier,VD,2,1999
audigier,EH,2,2004
audigier,CA,3,
bailey,DK,1,1994
bailey,G,2,1996
bailey,BU,2,2001
blazy,RS,1,2007
blazy,MM,1,2009
blazy,CE,1,2014
blazy,CK,1,2016
blazy,BV,2,2020
burch,VW,1,
burch,RL,1,
burch,TB,3,2004
burton,AM,2,2010
cavalli,RC,3,1972
chiuri,F,1,1989
chiuri,VA,1,1999
chiuri,D,2,2016
costa,OR,1,1993
costa,G,1,1998
dalmau,CB,3,1996
dolce,GC,1,1980
dolce,DG,3,1985
etro,ET,2,2000
emanuel,DEC,3,1990
ford,G,2,1994
ford,TF,3,2003
gabbana,GC,,1980
gabbana,D&G,3,1985
galliano,GI,2,1995
galliano,D,2,1997
gaultier,PC,,1970
gaultier,JP,,1971
gaultier,JPG,3,1978
gianni,F,,1997
gianni,G,2,2002
hardy,EH,3,2004
herrera,P,1,
herrera,HE,3,1981
hilfiger,TH,3,1985
jacobs,MJ,3,1986
jacobs,LV,2,1997
jette,RL,1,1996
jette,JE,3,1995
joop,J,3,1986
klein,C,3,1968
lacroix,H,,1978
lacroix,GP,,1980
lacroix,JA,,1980
lacroix,JP,,1981
lacroix,CL,3,1987
lagerfeld,B,1,1954
lagerfeld,JP,2,1958
lagerfeld,CH,2,1963
lagerfeld,F,,1964
lagerfeld,C,,1982
lagerfeld,CH,2,1997
lagerfeld,KL,3,1984
lauren,BB,,1967
lauren,RL,3,1967
lauren,JJ,3,2004
mugler,M,3,1974
queen,AM,3,1993
queen,GI,2,1997
queen,AM,3,1993
renta,B,2,1992
versace,V,2,1997
westwood,VIW,3,1971
williams,BBC,3,2005
williams,LV,2,2023
yama,Y,3,1984
Verbindung Designer Musen:,Designer -Musen,,
costa,TH,2,2001
abloh,hill,,
armani,kolibius,,2020
audigier,larson,,2008
bailey,delevigne,,2014
blazy,moss,,2023
cavalli,jenner,,2019
chiuri,kahlo,,2024
costa,mara,,2013
jacobs,coppola,,2014
jacobs,buendchen,,2014
de la renta,ade la renta,,1989
dolce,belluci,,1992
emanuel,seymour,,1978
gabbana,belluci,,1992
ford,doillon,,
galliano,moss,,2011
gaultier,madonna,,1990
hilfiger,beyonce,,
hilfiger,hadid,,2018
hilfiger,zendaya,,2019
herrera,cameron,,2023
klein,evangelista,,1989
klein,moss,,1992
klein,shields,,1980
lagerfeld,kroenig,,
lagerfeld,delevigne,,2012
lagerfeld,giabiconi,,
lagerfeld,schiffer,,
mugler,ellis,,1990
owens,lamy,,2006
queen,neilson,,
versace,gaga,,2016
westwood,stockbridge,,1985
williams,towley,,2017
ade la renta,OR,,1989
beyonce,TH,,2016
buendchen,LV,,2014
cameron,HE,,2023
coppola,LV,,2012
delevigne,C,,
delevigne,BU,,2014
evangelista,CK,,1989
giabiconi,C,,2008
hadid,TH,,2018
hill,LV,,2021
jenner,RC,,2019
kahlo,D,,2024
kolibius,GAL,,2020
kroenig,C,,2005
lamy,O,,2006
larson,CA,,2008
mara,CK,,2013
belluci,D&G,,1992
doillon,G,,2006
moss,BV,,2022
moss,CK,,1992
moss,GAL,,2011
madonna,JPG,,1985
neilson,AM,,1990
rlauren,RL,,1964
schields,CK,,1980
schiffer,C,,1990
stockbridge,V,,1985
ellis,M,,1990
gaga,V,,2016
zendaya,TH,,2019
