id,name,sex,sexuality,birthyear,scholar,transfer,main workplace,value,type
abloh,Virgil Abloh,2,1,1980,2,3,USA,1,1
armani,Giorgio Armani,2,3,1934,2,3,IT,2,1
audigier,Christian Audigier,2,1,1958,1,3,USA,1,1
bailey,Christopher Bailey,2,2,1971,3,2,GB,1,1
blazy,Matthieu Blazy,2,2,1984,3,3,FR,,1
burch,Tory Burch,1,1,1966,3,3,USA,1,1
burton,Sarah Burton,1,1,1974,3,1,GB,1,1
cavalli,Roberto Cavalli,2,1,1940,3,1,IT,1,1
chiuri,Maria Grazia Chiuri,1,1,1964,3,2,IT,1,1
costa,Francisco Costa,2,2,1961,3,2,BRA,1,1
dalmau,Custo Dalmau,2,2,1959,1,0,SP,1,1
dolce,Domenico Dolce,2,2,1958,2,1,IT,1,1
dominguez,Adolfo Dominguez,2,1,1950,3,0,SP,1,1
etro,Veronica Etro,1,1,1974,3,1,IT,,1
elkann,Lapo Elkann,2,1,1977,1,0,IT,1,1
emanuel,David Emanuel,2,1,1952,3,1,WAL,1,1
ferretti,Alberta Ferretti,1,1,1950,2,0,IT,1,1
ford,Tom Ford,2,2,1961,3,1,USA,1,1
frank,Paul Frank ,2,1,1967,3,0,USA,1,1
gabbana,Stefano Gabbana,2,2,1962,2,1,IT,2,1
galliano,John Galliano,2,2,1960,3,2,GB,1,1
gianni,Frida Gianni,1,1,1972,3,1,IT,1,1
gaultier,Jean P. Gaultier,2,2,1952,3,3,FR,1,1
hardy,Don Ed Hardy,2,1,1945,1,0,USA,1,1
herrera,Carolina Herrera,1,1,1939,2,1,VEN,1,1
hilfiger,Tommy Hilfiger,2,1,1951,1,0,USA,1,1
jacobs,Marc Jacobs,2,2,1963,3,1,USA,1,1
jette,Jette Joop,1,1,1968,2,1,D,1,1
joop,Wolfgang Joop,2,3,1944,1,0,D,1,1
klein,Calvin Klein,2,3,1942,3,0,USA,1,1
lacroix,Christian Lacroix,2,1,1951,1,3,FR,1,1
lagerfeld,Karl Lagerfeld,2,2,1933,3,3,D,1,1
lauren,Ralph Lauren,2,2,1939,1,1,USA,2,1
mugler,Thierry Mugler,2,2,1949,1,0,FR,1,1
owens,Rick Owens,2,1,1962,3,1,USA,1,1
plein,Philipp Plein,2,1,,,,,,
queen,Alexander McQueen,2,2,1969,2,3,USA,1,1
renta,Oscar De la Renta,2,1,1932,2,0,DR,1,1
versace,Donatella Versace,1,1,1955,2,0,IT,1,1
westwood,Vivienne Westwood,1,1,1941,3,0,GB,1,1
williams,Pharell Williams,1,1,1973,1,1,USA,1,1
yama,Yohji Yamamoto,2,1,1943,3,0,JAP,1,1
ade la renta,Annette de la Renta,1,,,,,,,3
bellucci,Monica Bellucci,1,,,,,,,3
beyonce,Beyonce Knowles,1,,,,,,,3
buendchen,Gisele Buendchen,1,,,,,,,3
cameron,Dove Cameron,1,,,,,,,3
coppola,Sofia Coppola,1,,,,,,,3
delevinge,Cara Delevinge,1,,,,,,,3
