from ,to,position,year
abloh,f,1,2009
abloh,do,2,2010
abloh,lv,2,2018
armani,n,1,1961
armani,u,1,1970
armani,z,1,1970
armani,a,3,1975
audigier,l,1,
audigier,di,2,1975
audigier,le,2,1975
audigier,vd,2,1999
bailey,dkny,1,1994
audigier,eh,2,2004
bailey,g,2,1996
bailey,bu,2,2001
blazy,mm,1,2009
blazy,rs,1,2007
blazy,ce,1,2014
blazy,ck,1,2016
blazy,bv,2,2020
burch,rl,1,1990
burch,tb,3,2004
burch,vw,1,1990
burton,am,2,2010
cavalli,rc,3,1972
chiuri,f,1,1989
chiuri,va,1,1999
chiuri,d,2,2016
coppola,lv,1,2012
costa,or,1,1993
costa,g,1,1998
costa,th,2,2001
dalmau,cb,3,1996
dolce,gc,1,1980
dolce,dg,3,1985
dominguez,ad,3,1973
emanuel,dec,3,1990
etro,et,2,2000
ferretti,af,3,1972
ford,g,2,1994
ford,tf,3,2003
frank,pf,3,1995
gabbana,gc,1,1980
gabbana,dg,3,1985
galliano,d,2,1997
galliano,gal,2,1995
gaultier,jp,,1971
gaultier,jpg,3,1978
gaultier,pc,1,1970
gianni,f,2,1997
gianni,g,2,2002
hardy,eh,3,2004
herrera,he,3,1981
herrera,p,1,
hilfiger,th,3,1985
jacobs,mj,3,1986
jacobs,lv,2,1997
jette,je,3,1995
jette,rl,1,1996
joop,j,3,1986
lacroix,cl,3,1987
lacroix,gp,3,1980
lacroix,h,1,1978
lacroix,ja,1,1980
lacroix,jp,1,1981
lagerfeld,b,1,1954
lagerfeld,jp,2,1958
lagerfeld,ch,2,1963
lagerfeld,f,1,1964
lagerfeld,c,2,1982
lagerfeld,kl,3,1984
lauren,bb,1,1967
lauren,je,3,2004
lauren,rl,3,1967
mugler,m,3,1974
owens,ml,2,1990
owens,o,3,1994
plein,pp,3,2004
prada,pr,2,1977
prada,mi,3,1993
renta,b,2,1992
rousteing,rc,1,2003
rousteing,rc,2,2004
rousteing,b,2,2009
simons,vb,1,1991
simons,js,2,2005
simons,rs,3,1995
simons,ck,2,2018
elkann,le,3,2006
versace,v,2,1997
westwood,viw,3,1971
williams,bbc,3,2005
williams,lv,2,2023
abloh,hill,,
armani,kolibius,,2020
audigier,larson,,2008
bailey,delevingne,,2014
blazy,moss,,2023
cavalli,jenner,,2019
costa,mara,,2013
dolce,bellucci,,1992
emanuel,seymour,,1978
ford,doillon,,
gabbana,bellucci,,1992
galliano,moss,,2011
gaultier,madonna,,1990
herrera,cameron,,2023
hilfiger,beyonce,,
hilfiger,hadid,,2018
hilfiger,zendaya,,2019
jacobs,buendchen,,2014
jacobs,coppola,,2014
klein,shields,,1980
klein,evangelista,,1989
klein,moss,,1992
lagerfeld,giabiconi,,
lagerfeld,kroenig,,
lagerfeld,schiffer,,
mugler,ellis,,1990
owens,lamy,,2006
queen,am,3,1993
queen,gi,2,1997
queen,neilson,,
renta,annette,,1989
versace,gaga,,2016
westwood,stockbridge,,1985
williams,towley,,2017
yamamoto,y,3,1984
annette,or,,1989
bellucci,dg,,1992
buendchen,lv,,2014
cameron,he,,2023
delevingne,bu,,2014
delevingne,c,,
doillon,g,,2006
ellis,m,,1990
evangelista,ck,,1989
gaga,v,,2016
giabiconi,c,,2008
hadid,th,,2018
hill,lv,,2021
jenner,rc,,2019
kahlo,d,,2024
kolibius,gal,,2020
kroenig,c,,2005
lamy,o,,2006
larson,ca,,2008
madonna,jpg,,1985
mara,ck,,2013
moss,ck,,1992
moss,gal,,2011
moss,bv,,2022
neilson,am,,1990
shields,ck,,1980
schiffer,c,,1990
seymour,dec,,1978
stockbridge,v,,1985
zendaya,th,,2019
