id,name,sex,sexuality,birthyear,scholar,transfer,main workplace,value,type
a,Armani,,,,,,,5,2
abloh,Virgil Abloh,2,2,1980,2,4,usa,2,1
ad,ADominguez,,,,,,,1,2
af,AFerretti,,,,,,,2,2
am,AMcQueen,,,,,,,1,2
annette,Annette de la Renta,1,,,,,,,3
armani,Giorgio Armani,2,3,1934,2,4,it,5,1
audigier,Christian Audigier,2,1,1958,1,4,usa,3,1
b,Balmain,,,,,,,1,2
bailey,Christopher Bailey,2,2,1971,3,3,gb,2,1
bb,Brooks Brothers,,,,,,,1,2
bbc,Billionaire Boys Club,,,,,,,1,2
bellucci,Monica Belluci,1,,,,,,,3
beyonce,Beyonce Knowles,1,,,,,,,3
blazy,Matthieu Blazy,2,2,1984,3,4,fr,,1
bu,Burberry,,,,,,,5,2
buendchen,Giselle Bundchen,1,,,,,,,3
burch,Tory Burch,1,1,1966,3,3,usa,5,1
burton,Sarah Burton,1,1,1974,3,1,gb,1,1
bv,Bottega Veneta,,,,,,,5,2
c,Chanel,,,,,,,5,2
ca,CAudigier,,,,,,,2,2
cameron,Dove Cameron,1,,,,,,,3
cavalli,Roberto Cavalli,2,1,1940,3,2,it,3,1
cb,Custo Barcelona,,,,,,,1,2
ce,Celine,,,,,,,4,2
ch,Chloe,,,,,,,5,2
chiuri,Maria Grazia Chiuri,1,1,1964,3,3,it,1,1
ck,CKlein,,,,,,,5,2
cl,CLacroix,,,,,,,1,2
coppola,Sofia Coppola,1,,,,,,,3
costa,Francisco Costa,2,2,1961,3,3,bra,2,1
d,Dior,,,,,,,5,2
dalmau,Custo Dalmau,2,2,1959,1,1,sp,1,1
dec,DEmanuel Couture,,,,,,,1,2
delevingne,Cara Delevingne,1,,,,,,,3
dg,DolceGabbana,,,,,,,5,2
di,Diesel,,,,,,,3,2
dkny,Donna Karan,,,,,,,4,2
do,Donda by Kanye West,,,,,,,1,2
doillon,Lou Doillon,1,,,,,,,3
dolce,Domenico Dolce,2,2,1958,2,2,it,5,1
dominguez,Adolfo Dominguez,2,1,1950,3,1,sp,1,1
eh,EHardy,,,,,,,3,2
elkann,Lapo Elkann,2,1,1977,1,1,it,1,1
ellis,Stella Ellis,1,,,,,,,3
emanuel,David Emanuel,2,1,1952,3,2,wal,2,1
et,Etro,,,,,,,4,2
etro,Veronica Etro,1,1,1974,3,2,it,,1
evangelista,Linda Evangelista,1,,,,,,,3
f,Fendi,,,,,,,5,2
ferretti,Alberta Ferretti,1,1,1950,2,1,it,2,1
ford,Tom Ford,2,2,1961,3,2,usa,5,1
frank,Paul Frank,2,1,1967,3,1,usa,1,1
g,Gucci,,,,,,,5,2
gabbana,Stefano Gabbana,2,2,1962,2,2,it,5,1
gaga,Lady Gaga,1,,,,,,,3
gal,Galliano,,,,,,,1,2
galliano,John Galliano,2,2,1960,3,3,gb,1,1
gaultier,Jean P. Gaultier,2,2,1952,3,4,fr,3,1
gc,Giorgio Corregliani,,,,,,,,2
gi,Givenchy,,,,,,,2,2
giabiconi,Baptiste Giabiconi,2,,,,,,,3
gianni,Frida Gianni,1,1,1972,3,2,it,1,1
gp,Guy Paulin,,,,,,,1,2
h,Hermes,,,,,,,5,2
hadid,Gigi Hadid,1,,,,,,,3
hardy,Don Ed Hardy,2,1,1945,1,1,usa,3,1
he,Herrera,,,,,,,2,2
herrera,Carolina Herrera,1,1,1939,2,2,ven,3,1
hilfiger,Tommy Hilfiger,2,1,1951,1,1,usa,3,1
hill,Lauryn Hill,1,,,,,,,3
j,Joop,,,,,,,1,2
ja,Jun Ashida,,,,,,,1,2
jacobs,Marc Jacobs,2,2,1963,3,2,usa,3,1
je,JetteJoop,,,,,,,1,2
jenner,Kendall Jenner,1,,,,,,,3
jette,Jette Joop,1,1,1968,2,2,de,1,1
joop,Wolfgang Joop,2,3,1944,1,1,de,1,1
jp,Jean Patou,,,,,,,1,2
jpg,JPGaultier,,,,,,,3,2
js,Jil Sander,,,,,,,1,2
kahlo,Frida Kahlo,1,,,,,,,3
kl,KLagerfeld,,,,,,,3,2
klein,Calvin Klein,2,3,1942,3,1,usa,4,1
kolibius,Felize Kolibius,1,,,,,,,3
kroenig,Brad Kroenig,2,,,,,,,3
l,Levis,,,,,,,5,2
lacroix,Christian Lacroix,2,1,1951,1,4,fr,1,1
lagerfeld,Karl Lagerfeld,2,2,1933,3,4,de,3,1
lamy,Michele Lamy,1,,,,,,,3
larson,Sarah Larson,1,,,,,,,3
lauren ,Ralph Lauren,2,2,1939,1,3,usa,5,1
le,Lee,,,,,,,4,2
lv,Louis Vuitton,,,,,,,5,2
m,Mugler,,,,,,,1,2
madonna,Madonna,1,,,,,,,3
mara,Rooney Mara,1,,,,,,,3
mi,Miu Miu,,,,,,,3,2
mj,MJacobs,,,,,,,3,2
ml,MLamy,,,,,,,1,2
mm,Maison Margiela,,,,,,,1,2
moss,Kate Moss,1,,,,,,,3
mugler,Thierry Mugler,2,2,1949,1,1,fr,1,1
n,Nino Cerutti,,,,,,,1,2
neilson,Annabelle Neilson,1,,,,,,,3
o,Owens,,,,,,,2,2
or,Ode la Renta,,,,,,,1,2
owens,Rick Owens,2,1,1962,3,2,usa,1,1
p,Pucci,,,,,,,1,2
pc,Pierre Cadin,,,,,,,4,2
pf,PFrank,,,,,,,4,2
plein,Philipp Plein,2,1,1978,1,1,de,3,1
pp,PPlein,,,,,,,3,2
pr,Prada,,,,,,,5,2
prada,Miuccia Prada,1,1,1974,1,2,it,5,1
queen,Alexander McQueen,2,2,1969,2,4,usa,1,1
rc,RCavalli,,,,,,,3,2
renta,Oscar de la Renta,2,1,1932,2,1,dr,1,1
rl,RLauren,,,,,,,5,2
rousteing,Olivier Rousteing,2,2,1985,1,,fr,1,1
rr,Ruffo Research,,,,,,,1,2
rs,Raf Simmons,,,,,,,1,2
schiffer,Claudia Schiffer,1,,,,,,,3
seymour,Jane Seymour,1,,,,,,,3
shields,Brooke Shields,1,,,,,,,3
simons,Raf Simons,2,2,1968,3,4,usa,1,1
stockbridge,Sara Stockbridge,1,,,,,,,3
tb,TBurch,,,,,,,5,2
tf,TFord,,,,,,,5,2
th,THilfiger,,,,,,,3,2
towley,Mette Towley,1,,,,,,,3
u,Ungaro,,,,,,,1,2
v,Versace,,,,,,,5,2
va,Valentino,,,,,,,5,2
vb,Van Beirendonck,,,,,,,1,2
vd,Von Dutch,,,,,,,1,2
versace,Donatella Versace,1,1,1955,2,1,it,3,1
viw,VWestwood,,,,,,,1,2
vw,VWang,,,,,,,4,2
wang,Vera Wang,1,1,1949,3,1,usa,3,1
westwood,Vivienne Westwood,1,1,1941,3,1,gb,1,1
williams,Pharell Williams,2,1,1973,1,2,usa,3,1
y,YYamamoto,,,,,,,1,2
yamamoto,Yohji Yamamoto,2,1,1943,3,1,jap,,1
z,Zegna,,,,,,,5,2
zendaya,Zendaya Coleman,1,,,,,,,3
