id,name,sex,sexuality,birthyear,scholar,transfer,main workplace,value,type
abloh,Virgil Abloh,2,2,1980,2,4,usa,2,1
armani,Giorgio Armani,2,3,1934,2,4,it,5,1
audigier,Christian Audigier,2,1,1958,1,4,usa,3,1
bailey,Christopher Bailey,2,2,1971,3,3,gb,2,1
blazy,Matthieu Blazy,2,2,1984,3,4,fr,,1
burch,Tory Burch,1,1,1966,3,3,usa,5,1
burton,Sarah Burton,1,1,1974,3,1,gb,1,1
cavalli,Roberto Cavalli,2,1,1940,3,2,it,3,1
chiuri,Maria Grazia Chiuri,1,1,1964,3,3,it,1,1
costa,Francisco Costa,2,2,1961,3,3,bra,2,1
dalmau,Custo Dalmau,2,2,1959,1,1,sp,1,1
dolce,Domenico Dolce,2,2,1958,2,2,it,5,1
dominguez,Adolfo Dominguez,2,1,1950,3,1,sp,1,1
elkann,Lapo Elkann,2,1,1977,1,1,it,1,1
emanuel,David Emanuel,2,1,1952,3,2,wal,2,1
etro,Veronica Etro,1,1,1974,3,2,it,,1
ferretti,Alberta Ferretti,1,1,1950,2,1,it,2,1
ford,Tom Ford,2,2,1961,3,2,usa,5,1
frank,Paul Frank,2,1,1967,3,1,usa,1,1
gabbana,Stefano Gabbana,2,2,1962,2,2,it,5,1
galliano,John Galliano,2,2,1960,3,3,gb,1,1
gaultier,Jean P. Gaultier,2,2,1952,3,4,fr,3,1
gianni,Frida Gianni,1,1,1972,3,2,it,1,1
hardy,Don Ed Hardy,2,1,1945,1,1,usa,3,1
herrera,Carolina Herrera,1,1,1939,2,2,ven,3,1
hilfiger,Tommy Hilfiger,2,1,1951,1,1,usa,3,1
jacobs,Marc Jacobs,2,2,1963,3,2,usa,3,1
jette,Jette Joop,1,1,1968,2,2,de,1,1
joop,Wolfgang Joop,2,3,1944,1,1,de,1,1
klein,Calvin Klein,2,3,1942,3,1,usa,4,1
lacroix,Christian Lacroix,2,1,1951,1,4,fr,1,1
lagerfeld,Karl Lagerfeld,2,2,1933,3,4,de,3,1
lauren ,Ralph Lauren,2,2,1939,1,3,usa,5,1
mugler,Thierry Mugler,2,2,1949,1,1,fr,1,1
owens,Rick Owens,2,1,1962,3,2,usa,1,1
plein,Philipp Plein,2,1,1978,1,1,de,3,1
prada,Miuccia Prada,1,1,1974,1,2,it,5,1
queen,Alexander McQueen,2,2,1969,2,4,usa,1,1
renta,Oscar de la Renta,2,1,1932,2,1,dr,1,1
rousteing,Olivier Rousteing,2,2,1985,1,,fr,1,1
simons,Raf Simons,2,2,1968,3,4,usa,1,1
versace,Donatella Versace,1,1,1955,2,1,it,3,1
wang,Vera Wang,1,1,1949,3,1,usa,3,1
westwood,Vivienne Westwood,1,1,1941,3,1,gb,1,1
williams,Pharell Williams,2,1,1973,1,2,usa,3,1
yamamoto,Yohji Yamamoto,2,1,1943,3,1,jap,,1
a,Armani,,,,,,,5,2
ad,ADominguez,,,,,,,1,2
af,AFerretti,,,,,,,2,2
am,AMcQueen,,,,,,,1,2
b,Balmain,,,,,,,1,2
bb,Brooks Brothers,,,,,,,1,2
bbc,Billionaire Boys Club,,,,,,,1,2
bu,Burberry,,,,,,,5,2
bv,Bottega Veneta,,,,,,,5,2
c,Chanel,,,,,,,5,2
cb,Custo Barcelona,,,,,,,1,2
ce,Celine,,,,,,,4,2
ch,Chloe,,,,,,,5,2
ck,CKlein,,,,,,,5,2
cl,CLacroix,,,,,,,1,2
d,Dior,,,,,,,5,2
dg,DolceGabbana,,,,,,,5,2
dec,DEmanuel Couture,,,,,,,1,2
di,Diesel,,,,,,,3,2
dkny,Donna Karan,,,,,,,4,2
do,Donda by Kanye West,,,,,,,1,2
eh,EHardy,,,,,,,3,2
et,Etro,,,,,,,4,2
f,Fendi,,,,,,,5,2
g,Gucci,,,,,,,5,2
gal,Galliano,,,,,,,1,2
gc,Giorgio Corregliani,,,,,,,,2
gi,Givenchy,,,,,,,2,2
gp,Guy Paulin,,,,,,,1,2
h,Hermes,,,,,,,5,2
he,Herrera,,,,,,,2,2
j,Joop,,,,,,,1,2
ja,Jun Ashida,,,,,,,1,2
je,JetteJoop,,,,,,,1,2
jp,Jean Patou,,,,,,,1,2
